,Image Height,Image_Width,subject_name,subject_x,subject_y,subject_width,subject_height,object_name,object_x,object_y,object_width,object_height
0,600,800,shade,256.0,434.0,274,192,sidewalk,439.0,453.0,722,290
1,600,800,man,268.0,380.0,60,262,shoe,412.0,499.0,48,28
2,600,800,car,516.0,364.0,74,98,headlight,525.5,373.5,23,15
3,600,800,sign,162.0,104.0,88,182,building,110.0,270.0,218,536
4,600,800,tree trunk,665.5,397.5,87,327,sidewalk,438.0,464.0,722,266
5,600,800,man,268.0,380.0,60,262,shirt,270.5,339.5,59,101
6,600,800,sidewalk,438.0,464.0,722,266,street,578.0,399.5,440,233
7,600,800,car,753.5,429.0,91,174,back,754.5,424.0,67,170
8,600,800,man,268.0,380.0,60,262,glass,281.0,274.0,20,12
9,600,800,parking meter,590.0,398.5,32,143,sidewalk,438.0,464.0,722,266
10,600,800,man,268.0,380.0,60,262,shoe,412.0,499.0,48,28
11,600,800,man,409.5,389.5,75,251,shoe,414.0,498.0,46,34
12,600,800,man,268.0,380.0,60,262,shirt,270.5,339.5,59,101
13,600,800,man,268.0,380.0,60,262,pant,264.0,443.0,38,118
14,600,800,man,409.5,389.5,75,251,jacket,400.5,344.5,89,97
15,600,800,man,409.5,389.5,75,251,pant,409.0,433.0,54,128
16,600,800,bike,332.0,336.0,28,34,sidewalk,438.0,464.0,722,266
17,600,800,bike,348.5,336.5,29,35,sidewalk,438.0,464.0,722,266
18,600,800,van,653.5,366.0,241,176,street,578.0,399.5,440,233
19,600,800,car,753.5,429.0,91,174,street,578.0,399.5,440,233
20,600,800,bike,348.5,336.5,29,35,sidewalk,368.0,412.5,50,189
21,600,800,parking meter,590.0,398.5,32,143,man,409.5,389.5,75,251
22,600,800,man,408.0,388.0,82,248,chin,404.5,292.5,11,9
23,600,800,man,268.0,380.0,60,262,shirt,270.5,339.5,59,101
24,600,800,man,409.5,389.5,75,251,chin,404.5,292.5,11,9
25,600,800,bike,341.0,336.5,40,35,tree,337.0,180.0,176,360
26,600,800,man,409.5,389.5,75,251,shoe,414.0,498.0,46,34
27,600,800,bike,341.0,336.5,40,35,tree,337.0,180.0,176,360
28,600,800,shirt,270.5,339.5,59,101,man,268.0,380.0,60,262
29,600,800,man,410.5,388.0,97,248,chin,404.5,292.5,11,9
30,600,800,man,266.0,383.0,72,264,glass,281.0,274.0,20,12
31,600,800,lamp post,557.5,278.0,41,430,street,618.5,412.0,359,258
32,600,800,man,268.0,380.0,60,262,shirt,270.5,339.5,59,101
33,600,800,man,268.0,380.0,60,262,pant,264.0,443.0,38,118
34,600,800,parking meter,590.0,398.5,32,143,street,578.0,399.5,440,233
35,600,800,tree,337.0,180.0,176,360,street,578.0,399.5,440,233
36,600,800,man,268.0,380.0,60,262,glass,281.0,274.0,20,12
37,600,800,bike,341.0,336.5,40,35,man,268.0,380.0,60,262
38,600,800,tree,493.0,278.5,606,557,sidewalk,438.0,464.0,722,266
39,600,800,man,409.5,389.5,75,251,jacket,400.5,344.5,89,97
40,600,800,building,110.0,270.0,218,536,windows,688.5,78.0,173,148
41,600,800,man,395.0,447.5,142,255,backpack,395.0,402.5,72,81
42,600,800,car,307.0,410.0,136,126,road,189.0,460.5,372,279
43,600,800,tree,36.5,257.5,73,223,road,189.0,460.5,372,279
44,600,800,tree,88.5,255.5,61,201,road,189.0,460.5,372,279
45,600,800,tree,151.5,276.5,83,163,road,189.0,460.5,372,279
46,600,800,crosswalk,183.0,545.5,366,107,man,395.0,447.5,142,255
47,600,800,building,672.5,196.0,251,384,window,694.5,149.5,99,179
48,600,800,building,672.5,196.0,251,384,window,770.5,150.5,57,159
49,600,800,building,672.5,196.0,251,384,window,696.5,316.0,105,114
50,600,800,building,672.5,196.0,251,384,window,772.0,313.0,52,108
51,600,800,building,672.5,196.0,251,384,window,641.0,153.5,26,179
52,600,800,car,389.0,365.0,86,76,road,189.0,460.5,372,279
53,600,800,sign,241.0,320.5,22,67,road,189.0,460.5,372,279
54,600,800,tree,36.5,257.5,73,223,road,189.0,460.5,372,279
55,600,800,tree,88.5,255.5,61,201,road,189.0,460.5,372,279
56,600,800,tree,151.5,276.5,83,163,road,189.0,460.5,372,279
57,600,800,man,395.0,447.5,142,255,sneaker,405.0,551.5,132,37
58,600,800,man,395.0,447.5,142,255,backpack,395.0,402.5,72,81
59,600,800,bike,431.5,437.5,33,69,car,307.0,410.0,136,126
60,600,800,car,307.0,410.0,136,126,road,189.0,460.5,372,279
61,600,800,man,395.0,447.5,142,255,crosswalk,183.0,545.5,366,107
62,600,800,crosswalk,183.0,545.5,366,107,road,189.0,460.5,372,279
63,600,800,walk sign,484.5,192.5,43,103,walk sign,486.5,201.0,27,12
64,480,640,keyboard,255.5,297.0,175,48,monitor,233.5,196.5,149,155
65,480,640,computer tower,255.5,415.5,79,129,desktop,384.0,355.0,510,244
66,480,640,file cabinet,71.5,369.5,139,201,drawer,95.0,444.0,94,42
67,480,640,file cabinet,71.5,369.5,139,201,file cabinet,66.0,366.0,132,200
68,480,640,mouse,360.5,310.0,29,28,keyboard,255.5,297.0,175,48
69,480,640,wireless phone,484.0,298.5,38,61,telephone,503.5,309.5,95,77
70,480,640,computer tower,255.5,415.5,79,129,desk,383.0,355.5,506,241
71,480,640,file cabinet,71.5,369.5,139,201,desk,383.0,355.5,506,241
72,480,640,plug,83.0,216.0,82,48,monitor,233.5,196.5,149,155
73,480,640,plug,83.0,216.0,82,48,plug,56.0,224.5,26,33
74,480,640,plug,83.0,216.0,82,48,plug,73.5,217.5,15,21
75,480,640,plug,83.0,216.0,82,48,outlet,92.0,212.5,12,21
76,480,640,plug,83.0,216.0,82,48,plug,114.5,211.5,17,23
77,480,640,telephone,503.5,309.5,95,77,desk,383.0,355.5,506,241
78,480,640,girl,591.0,163.5,94,149,computer,453.5,89.5,81,47
79,480,640,mouse,360.5,310.0,29,28,keyboard,255.5,297.0,175,48
80,480,640,outlet,91.5,214.0,17,24,wall,132.0,138.5,258,265
81,480,640,plug,54.0,223.0,18,28,wall,132.0,138.5,258,265
82,480,640,girl,591.0,163.5,94,149,hair,612.5,152.5,55,109
83,480,640,girl,591.0,163.5,94,149,chain,610.0,174.5,34,17
84,480,640,pen,431.5,331.0,53,16,desk,383.0,355.5,506,241
85,480,640,cable,163.0,437.0,52,58,floor,305.0,409.5,390,139
86,480,640,cable,192.0,407.0,84,40,floor,305.0,409.5,390,139
87,480,640,wall,132.0,138.5,258,265,outlets,86.5,214.0,89,48
88,480,640,bag,606.5,337.0,65,134,desk,383.0,355.5,506,241
89,480,640,computer,453.5,89.5,81,47,wall,412.5,78.5,217,97
90,480,640,woman,591.0,163.5,94,149,hair,611.5,154.0,59,112
91,480,640,woman,591.0,163.5,94,149,white top,588.5,208.0,101,68
92,480,640,woman,591.0,163.5,94,149,hair,611.5,154.0,59,112
93,480,640,woman,591.0,163.5,94,149,white t - shirt,588.5,208.0,101,68
94,480,640,partition,393.0,183.0,300,204,cubicle,381.5,272.0,513,402
95,480,640,picture,240.5,24.0,61,44,wall,132.0,138.5,258,265
96,480,640,telephone,505.0,305.5,98,79,desk,383.0,355.5,506,241
97,480,640,woman,591.0,163.5,94,149,hair,611.5,154.0,59,112
98,480,640,pen,431.5,331.0,53,16,phone,505.0,305.5,98,79
99,480,640,woman,591.0,163.5,94,149,computer,463.5,84.5,101,57
100,480,640,cable,99.5,255.5,81,89,plugged,86.5,214.0,89,48
101,480,640,photo,379.5,25.5,341,45,wall,279.0,34.5,552,65
102,480,640,woman,591.0,163.5,94,149,white top,588.5,208.0,101,68
103,480,640,cable,99.5,255.5,81,89,plug,86.5,214.0,89,48
104,480,640,file cabinet,66.0,366.0,132,200,handle,58.5,375.0,81,44
105,480,640,woman,591.0,163.5,94,149,white top,588.5,208.0,101,68
106,480,640,pen,431.5,331.0,53,16,telephone,505.0,305.5,98,79
107,480,640,cable,99.5,255.5,81,89,floor,195.5,423.5,141,95
108,480,640,picture,470.5,152.5,99,95,divide screen,393.0,183.0,300,204
109,480,640,girl,591.0,163.5,94,149,chain,604.0,174.0,22,8
110,480,640,keyboard,255.5,297.0,175,48,keyboard,251.5,297.5,173,49
111,480,640,woman,591.0,163.5,94,149,desk,558.0,182.0,52,52
112,480,640,computer tower,256.0,409.5,88,139,desk,383.0,355.5,506,241
113,480,640,telephone,505.0,305.5,98,79,table,384.0,355.0,510,244
114,480,640,chair,433.0,292.5,92,157,padding,443.0,297.5,72,27
115,480,640,carpet,316.5,399.5,629,157,floor,316.5,384.0,631,188
116,480,640,pillow,238.5,265.0,111,86,couch,235.0,296.0,260,172
117,480,640,teddy bear,237.0,279.5,52,57,pillow,238.5,265.0,111,86
118,480,640,animal,237.0,279.5,52,57,pillow,238.5,265.0,111,86
119,480,640,table top,526.5,267.5,227,51,window,562.0,155.5,154,303
120,480,640,futon,235.0,296.0,260,172,frame,235.5,327.5,265,107
121,480,640,chair,433.0,292.5,92,157,table,524.0,338.0,224,200
122,480,640,door,427.0,163.5,120,327,patio,499.5,253.5,279,187
123,480,640,doll,237.0,279.5,52,57,cloth,238.5,282.0,23,20
124,480,640,lamp,240.0,137.0,48,150,couch,235.0,296.0,260,172
125,480,640,pillow,238.5,265.0,111,86,couch,235.0,296.0,260,172
126,480,640,chair,433.0,292.5,92,157,table top,526.5,267.5,227,51
127,480,640,teddy bear,237.0,279.5,52,57,couch,235.0,296.0,260,172
128,480,640,table top,526.5,267.5,227,51,table,524.0,338.0,224,200
129,480,640,lamp,240.0,137.0,48,150,floor,316.5,384.0,631,188
130,600,800,cable,325.5,492.0,49,88,floor,176.5,544.0,349,108
131,600,800,book,614.0,159.0,370,142,shelf,612.0,158.0,368,152
132,600,800,computer,377.0,517.0,54,126,floor,176.5,544.0,349,108
133,600,800,cable,325.5,492.0,49,88,floor,176.5,544.0,349,108
134,600,800,printer,343.5,350.0,93,50,computer monitor,244.5,328.5,101,101
135,600,800,book,614.0,159.0,370,142,shelf,611.0,183.0,372,102
136,600,800,rail,93.0,373.5,88,103,window,87.5,234.5,91,387
137,600,800,chair,231.0,478.0,174,240,desk,278.5,410.5,317,107
138,600,800,computer monitor,244.5,328.5,101,101,desk,278.5,410.5,317,107
139,600,800,book,614.0,159.0,370,142,wall,591.0,268.5,404,519
