,relationship
0,ON
1,wear
2,have
3,ON
4,ON
5,have
6,next to
7,have
8,have
9,ON
10,wear
11,have
12,have
13,wear
14,have
15,have
16,park on
17,park on
18,park on
19,park on
20,ON
21,behind
22,hold
23,wear
24,hold
25,near
26,wear
27,near
28,ON
29,hold
30,wear
31,along
32,in
33,wear
34,on top of
35,next to
36,wear
37,behind
38,by
39,wear
40,with
41,wear
42,park on
43,next to
44,next to
45,next to
46,in front of
47,have
48,have
49,have
50,have
51,have
52,park on
53,next to
54,along
55,along
56,along
57,wear
58,carries
59,next to
60,park on
61,at
62,ON
63,say
64,in front of
65,under
66,have
67,have
68,next to
69,dock in
70,under
71,next to
72,next to
73,have
74,have
75,have
76,have
77,ON
78,in front of
79,next to
80,ON
81,ON
82,have
83,wear
84,ON
85,ON
86,ON
87,have
88,ON
89,ON
90,have
91,have
92,with
93,with
94,between
95,ON
96,ON
97,with
98,next to
99,work on
100,be fully
101,ON
102,wear
103,have be
104,have
105,wear
106,next to
107,ON
108,ON
109,wear
110,with
111,sit at
112,under
113,ON
114,have
115,ON
116,ON
117,against
118,against
119,near
120,have
121,next to
122,to
123,have
124,behind
125,ON
126,by
127,ON
128,ON
129,ON
130,ON
131,ON
132,ON
133,ON
134,near
135,ON
136,outside
137,near
138,ON
139,ON
140,ON
141,ON
142,ON
143,against
144,ON
145,ON
146,ON
147,ON
148,ON
149,with
150,before
151,ON
152,ON
153,ON
154,ON
155,against
156,ON
157,against
158,ON
159,have
160,in
161,have
162,ON
163,have
164,have
165,ON
166,have
167,in
168,next to
169,against
170,have
171,have
172,in
173,ON
174,ON
175,ON
176,ON
177,in
178,ON
179,in
180,ON
181,ON
182,ON
183,ON
184,of
185,in
186,rest on
187,ON
188,ON
189,with
190,ON
191,ON
192,ON
193,contain
194,in
195,ON
196,ON
197,next to
198,under
199,have
200,have
201,ON
202,ON
203,have
204,of
205,of
206,ON
207,ON
208,ON
209,with
210,have
211,ON
212,ON
213,look at
214,wear
215,next to
216,ON
217,atop
218,ON
219,ON
220,ON
221,ON
222,on top of
223,have
224,on top of
225,on top of
226,wear
227,on top of
228,under
229,on top of
230,next to
231,have
232,on top of
233,have
234,have
235,wear
236,on top of
237,on top of
238,next to
239,on top of
240,on top of
241,on top of
242,sit on
243,have
244,have
245,sit at
246,tape to
247,sit in
248,have
249,next to
250,behind
251,on top of
252,on top of
253,run under
254,on top of
255,on top of
256,have
257,on top of
258,have
259,on top of
260,next to
261,have
262,ON
263,ON
264,ON
265,ON
266,have
267,wear
268,ON
269,ON
270,ON
271,have
272,at
273,ON
274,ON
275,ON
276,of
277,ON
278,near
279,near
280,in
281,tape to
282,with
283,ON
284,ON
285,hold
